2014-10-16 21:33:06,222 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:33:06,223 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-16 21:33:32,233 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.merqurion:roselle:1.0.0-BUILD-SNAPSHOT @ E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle\pom.xml.
2014-10-16 21:33:33,880 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:33:33,881 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2014-10-16 21:33:33,884 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:33:33,884 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 21:34:37,459 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:34:37,475 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2014-10-16 21:34:37,477 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-16 21:34:37,478 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-10-16 21:36:13,307 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate - E:\Data\My Favorites\xxx\Best Collections\roselle-workspace\roselle
2014-10-16 21:36:13,308 [Worker-12] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
